bgr,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of classification,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2,3,4,5,6,7,8,11,12,14,15,17,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,78,79,80,81,82,83,90,(blank),Grand Total
50,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5
60,,,,,1,,1,,1,,1,2,,1,,1,1,,1,,1,1,,2,1,2,2,1,,2,1,1,,,,2,2,2,3,3,1,,1,2,,2,2,,1,2,,1,2,1,1,,2,3,,,1,1,1,3,1,1,2,1,,1,,,1,,,,1,71
70,,,,,,,,,,,,1,1,1,1,,,1,1,1,,1,1,1,1,,5,1,,,1,3,1,2,2,,3,3,2,1,3,,3,,,,3,2,2,1,2,4,5,3,1,3,3,6,4,3,4,4,2,3,,1,,3,3,,,3,,,1,,5,112
80,,,,,,,,1,1,,1,,1,,,,3,2,1,,,,2,4,,3,1,3,2,,1,,3,3,2,4,,4,1,5,6,1,2,2,3,,2,7,3,4,2,1,4,3,5,1,,5,,3,2,1,2,,1,2,1,1,,,1,1,,1,,,1,116
90,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,1,,1,1,2,,,,3,,1,2,1,2,3,1,,,5,2,2,1,2,2,1,1,1,,2,2,4,2,,,2,,,,,,,1,1,53
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,1,1,,1,1,1,1,1,,,,3,2,,,2,1,1,,,,,2,,1,1,,,,,,,,,,,1,25
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
(blank),1,1,1,1,,,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,12
Grand Total,1,1,1,2,1,1,3,1,2,1,2,3,2,2,2,1,4,4,3,1,1,2,3,7,3,6,9,6,2,3,3,4,4,5,6,6,6,10,9,11,12,2,12,5,5,5,10,12,10,8,5,10,19,9,10,7,8,17,5,7,8,6,9,8,7,8,3,5,5,1,1,4,1,1,1,1,9,400
